TABLE_NO,TABLE_NAME,CODEFLAG,ELEMENT,OTHER
0 08 040,Significación del nivel de vuelo,42,Nivel de temperatura significativo (según el NCDC),
0 08 040,Significación del nivel de vuelo,43,Comienzo de datos faltantes de viento,
0 08 040,Significación del nivel de vuelo,44,Fin de datos faltantes de viento,
0 08 040,Significación del nivel de vuelo,45-59,Reservadas,
0 08 040,Significación del nivel de vuelo,60,Nivel de la isotaca de 80 nudos por encima del chorro,
0 08 040,Significación del nivel de vuelo,61,Nivel de la isotaca de 80 nudos por debajo del chorro,
0 08 040,Significación del nivel de vuelo,62,Otros,
0 08 040,Significación del nivel de vuelo,63,Valor faltante,
0 08 041,Significación de datos,0,Sitio principal,
0 08 041,Significación de datos,1,Sitio de observación,
0 08 041,Significación de datos,2,Fecha de fabricación del globo,
0 08 041,Significación de datos,3,Punto de lanzamiento del globo,
0 08 041,Significación de datos,4,Observación en superficie,
0 08 041,Significación de datos,5,Desplazamiento de la observación en superficie desde el punto de lanzamiento,
0 08 041,Significación de datos,6,Observación del nivel de vuelo,
0 08 041,Significación de datos,7,Punto de terminación del nivel de vuelo,
0 08 041,Significación de datos,8,Techo de nubes y visibilidad IFR,
0 08 041,Significación de datos,9,Oscurecimiento de montaña,
0 08 041,Significación de datos,10,Viento de superficie fuerte,
0 08 041,Significación de datos,11,Nivel de congelación,
0 08 041,Significación de datos,12,Nivel de congelación múltiple,
0 08 041,Significación de datos,13,Fecha de fabricación del instrumento,
0 08 041,Significación de datos,14-30,Reservadas,
0 08 041,Significación de datos,31,Valor faltante,
0 08 042,Significación del sondeo vertical ampliado,1,Superficie,
0 08 042,Significación del sondeo vertical ampliado,2,Nivel estándar,
0 08 042,Significación del sondeo vertical ampliado,3,Nivel de la tropopausa,
0 08 042,Significación del sondeo vertical ampliado,4,Nivel del viento máximo,
0 08 042,Significación del sondeo vertical ampliado,5,Nivel de la temperatura significativa,
0 08 042,Significación del sondeo vertical ampliado,6,Nivel de la humedad significativa,
0 08 042,Significación del sondeo vertical ampliado,7,Nivel del viento significativo,
0 08 042,Significación del sondeo vertical ampliado,8,Comienzo de datos faltantes de temperatura,
0 08 042,Significación del sondeo vertical ampliado,9,Fin de datos faltantes de temperatura,
0 08 042,Significación del sondeo vertical ampliado,10,Comienzo de datos faltantes de humedad,
0 08 042,Significación del sondeo vertical ampliado,11,Fin de datos faltantes de humedad,
0 08 042,Significación del sondeo vertical ampliado,12,Comienzo de datos faltantes de viento,
0 08 042,Significación del sondeo vertical ampliado,13,Fin de datos faltantes de viento,
0 08 042,Significación del sondeo vertical ampliado,14,Techo del sondeo del viento,
0 08 042,Significación del sondeo vertical ampliado,15,Nivel determinado por decisión regional,
0 08 042,Significación del sondeo vertical ampliado,16,Nivel de congelación,
0 08 042,Significación del sondeo vertical ampliado,17,Nivel de presión indicado originariamente por la altura como coordinada vertical,
0 08 042,Significación del sondeo vertical ampliado,Todos los 18,Valor faltante,
0 08 043,Tipo de componente atmosférico químico o físico,0,Ozono,"Fórmula: O3, Número CAS: 10028-15-6"
0 08 043,Tipo de componente atmosférico químico o físico,1,Vapor de agua,"Fórmula: H2O, Número CAS: 7732-18-5"
0 08 043,Tipo de componente atmosférico químico o físico,2,Metano,"Fórmula: CH4, Número CAS: 74-82-8"
0 08 043,Tipo de componente atmosférico químico o físico,3,Dióxido de carbono,"Fórmula: CO2, Número CAS: 124-38-9"
0 08 043,Tipo de componente atmosférico químico o físico,4,Monóxido de carbono,"Fórmula: CO, Número CAS: 630-08-0"
0 08 043,Tipo de componente atmosférico químico o físico,5,Dióxido de nitrógeno,"Fórmula: NO2, Número CAS: 10102-44-0"
0 08 043,Tipo de componente atmosférico químico o físico,6,Óxido nitroso,"Fórmula: N2O, Número CAS: 10024-97-2"
0 08 043,Tipo de componente atmosférico químico o físico,7,Formaldehído,"Fórmula: HCHO, Número CAS: 50-00-0"
0 08 043,Tipo de componente atmosférico químico o físico,8,Dióxido de azufre,"Fórmula: SO2, Número CAS: 7446-09-5"
0 08 043,Tipo de componente atmosférico químico o físico,9-24,Reservadas,
0 08 043,Tipo de componente atmosférico químico o físico,25,"Materia en partículas < 1,0 micrones",
0 08 043,Tipo de componente atmosférico químico o físico,26,"Materia en partículas < 2,5 micrones",
0 08 043,Tipo de componente atmosférico químico o físico,27,Materia en partículas < 10 micrones,
0 08 043,Tipo de componente atmosférico químico o físico,28,Aerosoles (genérico),
0 08 043,Tipo de componente atmosférico químico o físico,29,Humo (genérico),
0 08 043,Tipo de componente atmosférico químico o físico,30,Material de corteza (polvo genérico),
0 08 043,Tipo de componente atmosférico químico o físico,31,Ceniza volcánica,
0 08 043,Tipo de componente atmosférico químico o físico,32-200,Reservadas,
0 08 043,Tipo de componente atmosférico químico o físico,201-254,Reservadas para uso local,
0 08 043,Tipo de componente atmosférico químico o físico,255,Valor faltante,
0 08 050,Calificador del número de valores faltantes en el cálculo de estadísticas,0,Reservada,
0 08 050,Calificador del número de valores faltantes en el cálculo de estadísticas,1,Presión,
0 08 050,Calificador del número de valores faltantes en el cálculo de estadísticas,2,Temperatura,
0 08 050,Calificador del número de valores faltantes en el cálculo de estadísticas,3,Temperatura extrema,
0 08 050,Calificador del número de valores faltantes en el cálculo de estadísticas,4,Presión del vapor,
0 08 050,Calificador del número de valores faltantes en el cálculo de estadísticas,5,Precipitación,
0 08 050,Calificador del número de valores faltantes en el cálculo de estadísticas,6,Duración de la insolación,
0 08 050,Calificador del número de valores faltantes en el cálculo de estadísticas,7,Temperatura máxima,
0 08 050,Calificador del número de valores faltantes en el cálculo de estadísticas,8,Temperatura mínima,
0 08 050,Calificador del número de valores faltantes en el cálculo de estadísticas,9,Viento,
0 08 050,Calificador del número de valores faltantes en el cálculo de estadísticas,10-14,Reservadas,
0 08 050,Calificador del número de valores faltantes en el cálculo de estadísticas,15,Valor faltante,
0 08 051,Calificador del número de valores faltantes en el cálculo de estadísticas,1,Presión,
0 08 051,Calificador del número de valores faltantes en el cálculo de estadísticas,2,Temperatura,
0 08 051,Calificador del número de valores faltantes en el cálculo de estadísticas,3,Temperatura extrema,
0 08 051,Calificador del número de valores faltantes en el cálculo de estadísticas,4,Presión del vapor,
0 08 051,Calificador del número de valores faltantes en el cálculo de estadísticas,5,Precipitación,
0 08 051,Calificador del número de valores faltantes en el cálculo de estadísticas,6,Duración de la insolación,
0 08 051,Calificador del número de valores faltantes en el cálculo de estadísticas,7,Valor faltante,
0 08 052,Condición por la que se deduce el número de días de ocurrencia,0,Velocidad media del viento observada o registrada durante un período de 10 minutos igual o superior a 10 ms¯¹ o 20 nudos,
0 08 052,Condición por la que se deduce el número de días de ocurrencia,1,Velocidad media del viento observada o registrada durante un período de 10 minutos igual o superior a 20 ms¯¹ o 40 nudos,
0 08 052,Condición por la que se deduce el número de días de ocurrencia,2,Velocidad media del viento observada o registrada durante un período de 10 minutos igual o superior a 30 ms-¹ o 60 nudos,
0 08 052,Condición por la que se deduce el número de días de ocurrencia,3,"Temperatura máxima inferior a 273,15° K",
0 08 052,Condición por la que se deduce el número de días de ocurrencia,4,"Temperatura máxima igual o superior a 298,15° K",
0 08 052,Condición por la que se deduce el número de días de ocurrencia,5,"Temperatura máxima igual o superior a 303,15° K",
0 08 052,Condición por la que se deduce el número de días de ocurrencia,6,"Temperatura máxima igual o superior a 308,15° K",
0 08 052,Condición por la que se deduce el número de días de ocurrencia,7,"Temperatura máxima igual o superior a 313,15° K",
0 08 052,Condición por la que se deduce el número de días de ocurrencia,8,"Temperatura mínima inferior a 273,15° K",
0 08 052,Condición por la que se deduce el número de días de ocurrencia,9,"Temperatura máxima igual o superior a 273,15° K",
0 08 052,Condición por la que se deduce el número de días de ocurrencia,10,"Precipitaciones iguales o superiores a 1,0 kg m-2",
0 08 052,Condición por la que se deduce el número de días de ocurrencia,11,"Precipitaciones iguales o superiores a 5,0 kg m-2",
0 08 052,Condición por la que se deduce el número de días de ocurrencia,12,"Precipitaciones iguales o superiores a 10,0 kg m-2",
0 08 052,Condición por la que se deduce el número de días de ocurrencia,13,"Precipitaciones iguales o superiores a 50,0 kg m-2",
0 08 052,Condición por la que se deduce el número de días de ocurrencia,14,"Precipitaciones iguales o superiores a 100,0 kg m-2",
0 08 052,Condición por la que se deduce el número de días de ocurrencia,15,"Precipitaciones iguales o superiores a 150,0 kg m-2",
0 08 052,Condición por la que se deduce el número de días de ocurrencia,16,"Espesor de la capa de nieve superior a 0,00 m",
0 08 052,Condición por la que se deduce el número de días de ocurrencia,17,"Espesor de la capa de nieve superior a 0,01 m",
0 08 052,Condición por la que se deduce el número de días de ocurrencia,18,"Espesor de la capa de nieve superior a 0,10 m",
0 08 052,Condición por la que se deduce el número de días de ocurrencia,19,"Espesor de la capa de nieve superior a 0,50 m",
0 08 052,Condición por la que se deduce el número de días de ocurrencia,20,Visibilidad horizontal inferior a 50 m,
0 08 052,Condición por la que se deduce el número de días de ocurrencia,21,Visibilidad horizontal inferior a 100 m,
0 08 052,Condición por la que se deduce el número de días de ocurrencia,22,Visibilidad horizontal inferior a 1000 m,
0 08 052,Condición por la que se deduce el número de días de ocurrencia,23,Granizo,
0 08 052,Condición por la que se deduce el número de días de ocurrencia,24,Tormenta,
0 08 052,Condición por la que se deduce el número de días de ocurrencia,25-30,Reservadas,
0 08 052,Condición por la que se deduce el número de días de ocurrencia,31,Valor faltante,
0 08 053,Calificador del día de ocurrencia,0,Valor obtenido un día del mes únicamente,
0 08 053,Calificador del día de ocurrencia,1,Valor obtenido más de un día al mes,
0 08 053,Calificador del día de ocurrencia,2,Reservada,
0 08 053,Calificador del día de ocurrencia,3,Valor faltante,
0 08 054,Calificador de la velocidad del viento o de las ráfagas de viento,0,La velocidad del viento o las ráfagas coinciden con el valor notificado,
0 08 054,Calificador de la velocidad del viento o de las ráfagas de viento,1,Velocidad del viento superior a la comunicada (P en METAR/TAF/SPECI),
0 08 054,Calificador de la velocidad del viento o de las ráfagas de viento,26,Reservadas,
0 08 054,Calificador de la velocidad del viento o de las ráfagas de viento,7,Valor faltante,
0 08 060,Significación del modo de exploración de la muestra,0,Reservada,
0 08 060,Significación del modo de exploración de la muestra,1,Alcance,
0 08 060,Significación del modo de exploración de la muestra,2,Azimut,
0 08 060,Significación del modo de exploración de la muestra,3,Horizontal,
0 08 060,Significación del modo de exploración de la muestra,4,Vertical,
0 08 060,Significación del modo de exploración de la muestra,5,Norte/Sur,
0 08 060,Significación del modo de exploración de la muestra,6,Este/Oeste,
0 08 060,Significación del modo de exploración de la muestra,7-14,Reservadas,
0 08 060,Significación del modo de exploración de la muestra,15,Valor faltante,
0 08 065,Indicador de destello solar,0,Ausencia de destello solar,
0 08 065,Indicador de destello solar,1,Destello solar,
0 08 065,Indicador de destello solar,2,Reservada,
0 08 065,Indicador de destello solar,3,Valor faltante,
0 08 066,Indicador de semitransparencia,0,Opaco,
0 08 066,Indicador de semitransparencia,1,Semitransparente,
0 08 066,Indicador de semitransparencia,2,Reservada,
0 08 066,Indicador de semitransparencia,3,Valor faltante,
0 08 070,Calificador del producto de sonedo vertical,0,Reservada,
0 08 070,Calificador del producto de sonedo vertical,1,Reservada,
0 08 070,Calificador del producto de sonedo vertical,2,"Conteos de instrumentos ubicados en tierra, coeficientes de calibración y mantenimiento (nivel 1b)",
0 08 070,Calificador del producto de sonedo vertical,3,Datos calibrados de radiancia en la superficie (nivel 1c),
0 08 070,Calificador del producto de sonedo vertical,4,"Por referencia a una proyección común del haz del satélite, datos calibrados de la radiancia en la superficie (nivel 1d)",
0 08 070,Calificador del producto de sonedo vertical,5-14,Reservadas,
0 08 070,Calificador del producto de sonedo vertical,15,Valor faltante,
0 08 072,Tipo de píxel(es),0,Parcialmente nuboso,
0 08 072,Tipo de píxel(es),1,Cielo despejado,
0 08 072,Tipo de píxel(es),2,Nuboso,
0 08 072,Tipo de píxel(es),3,Probablemente despejado,
0 08 072,Tipo de píxel(es),4,Probablemente nuboso,
0 08 072,Tipo de píxel(es),5-6,Reservadas,
0 08 072,Tipo de píxel(es),7,Valor faltante,
0 08 074,Tipo de eco del altímetro,0,Mar abierto o mar semicerrado,
0 08 074,Tipo de eco del altímetro,1,Diferente del océano,
0 08 074,Tipo de eco del altímetro,2,Reservada,
0 08 074,Tipo de eco del altímetro,3,Valor faltante,
0 08 075,Calificador de órbita ascendente/descendente,0,Órbita ascendente,
0 08 075,Calificador de órbita ascendente/descendente,1,Órbita descendente,
0 08 075,Calificador de órbita ascendente/descendente,2,Reservada,
0 08 075,Calificador de órbita ascendente/descendente,3,Valor faltante,
0 08 076,Tipo de banda,0,Ku,
0 08 076,Tipo de banda,1,C,
0 08 076,Tipo de banda,2,Infrarroja de onda larga,
0 08 076,Tipo de banda,3,Infrarroja de onda media,
0 08 076,Tipo de banda,4,Infrarroja de onda corta,
0 08 076,Tipo de banda,5,M,
0 08 076,Tipo de banda,6,I,
0 08 076,Tipo de banda,7,Día/noche,
0 08 076,Tipo de banda,8-62,Reservadas,
0 08 076,Tipo de banda,63,Valor faltante,
0 08 077,Tipo de superficie detectada mediante radiómetro,0,Tierra,
0 08 077,Tipo de superficie detectada mediante radiómetro,1,Mar,
0 08 077,Tipo de superficie detectada mediante radiómetro,2,Costa,
0 08 077,Tipo de superficie detectada mediante radiómetro,3,Mar abierto o mar semicerrado,
0 08 077,Tipo de superficie detectada mediante radiómetro,4,Mar cerrado o lago,
0 08 077,Tipo de superficie detectada mediante radiómetro,5,Hielo continental,
0 08 077,Tipo de superficie detectada mediante radiómetro,6-126,Reservadas,
0 08 077,Tipo de superficie detectada mediante radiómetro,127,Valor faltante,
0 08 079,Estado del producto,0,Publicación normal,
0 08 079,Estado del producto,1,Corrección de un producto anteriormente publicado (COR),
0 08 079,Estado del producto,2,Enmienda de un producto anteriormente publicado (AMD),
0 08 079,Estado del producto,3,Corrección de un producto enmendado anteriormente publicado (COR AMD),
0 08 079,Estado del producto,4,Cancelación de un producto anteriormente publicado (CNL),
0 08 079,Estado del producto,5,Ningún producto disponible (NIL),
0 08 079,Estado del producto,6,Informe especial (SPECI),
0 08 079,Estado del producto,7,Informe especial corregido (SPECI COR),
0 08 079,Estado del producto,8-14,Reservadas,
0 08 079,Estado del producto,15,Valor faltante o no applicable,
0 08 080,Calificador del banderín de calidad del GTSPP*,0,Perfil total de la presión del agua,
0 08 080,Calificador del banderín de calidad del GTSPP*,1,Perfil total de la temperatura del agua,
0 08 080,Calificador del banderín de calidad del GTSPP*,2,Perfil total de la salinidad del agua,
0 08 080,Calificador del banderín de calidad del GTSPP*,3,Perfil total de la conductividad del agua,
0 08 080,Calificador del banderín de calidad del GTSPP*,4,Profundidad total del agua,
0 08 080,Calificador del banderín de calidad del GTSPP*,5-9,Reservadas,
0 08 080,Calificador del banderín de calidad del GTSPP*,10,Presión del agua a un nivel,
0 08 080,Calificador del banderín de calidad del GTSPP*,11,Temperatura del agua a un nivel,
0 08 080,Calificador del banderín de calidad del GTSPP*,12,Salinidad a un nivel,
0 08 080,Calificador del banderín de calidad del GTSPP*,13,Profundidad del agua a un nivel,
0 08 080,Calificador del banderín de calidad del GTSPP*,14,Velocidad de la corriente del mar/agua a un nivel dado,
0 08 080,Calificador del banderín de calidad del GTSPP*,15,Dirección de la corriente del mar/agua a un nivel dado,
0 08 080,Calificador del banderín de calidad del GTSPP*,16,Oxígeno disuelto a un nivel dado,
0 08 080,Calificador del banderín de calidad del GTSPP*,17-19,Reservadas,
0 08 080,Calificador del banderín de calidad del GTSPP*,20,Posición,
0 08 080,Calificador del banderín de calidad del GTSPP*,21-62,Reservadas,
0 08 080,Calificador del banderín de calidad del GTSPP*,63,Valor faltante,
0 08 081,Tipo de equipo,0,Sensor,
0 08 081,Tipo de equipo,1,Transmisor,
0 08 081,Tipo de equipo,2,Receptor,
0 08 081,Tipo de equipo,3,Plataforma de observación,
0 08 081,Tipo de equipo,4-62,Reservadas,
0 08 081,Tipo de equipo,63,Valor faltante,
0 08 082,Modificación de la altura del sensor a otro valor,0,a altura del sensor no se modifica,
0 08 082,Modificación de la altura del sensor a otro valor,1,La altura del sensor se cambia al nivel estándar *,
0 08 082,Modificación de la altura del sensor a otro valor,2-6,Reservadas,
0 08 082,Modificación de la altura del sensor a otro valor,7,Valor faltante,
0 08 083,Indicador del valor nominal,1,Ajustado a/con respecto a la altura representativa del sensor del suelo local (o cubierta de la plataforma marina),
0 08 083,Indicador del valor nominal,2,Ajustado a/con respecto a la altura representativa del sensor sobre la superficie del agua,
0 08 083,Indicador del valor nominal,3,Ajustado con respecto a la rugosidad estándar de la superficie,
0 08 083,Indicador del valor nominal,4,Ajustado con respecto a la velocidad del viento,
0 08 083,Indicador del valor nominal,5,Ajustado con respecto a la temperatura,
0 08 083,Indicador del valor nominal,6,Ajustado con respecto a la presión,
0 08 083,Indicador del valor nominal,7,Ajustado con respecto a la humedad,
0 08 083,Indicador del valor nominal,8,Ajustado con respecto a la evaporación,
0 08 083,Indicador del valor nominal,9,Ajustado con respecto a las pérdidas por humedad,
0 08 083,Indicador del valor nominal,10-14,Reservados,
0 08 083,Indicador del valor nominal,Todos los 15,Valor faltante,
0 08 085,Identificador del haz,0,Haz de proa,
0 08 085,Identificador del haz,1,Haz medio,
0 08 085,Identificador del haz,2,Haz de popa,
0 08 085,Identificador del haz,3-6,Reservada,
0 08 085,Identificador del haz,7,Valor faltante,
0 08 086,Significación vertical para predicción numérica del tiempo,1,"Superficie del ""terreno"" en el modelo",
0 08 086,Significación vertical para predicción numérica del tiempo,2,Nivel estándar,
0 08 086,Significación vertical para predicción numérica del tiempo,3,Nivel de la tropopausa,
0 08 086,Significación vertical para predicción numérica del tiempo,4,Nivel máximo del viento,
0 08 086,Significación vertical para predicción numérica del tiempo,5,Nivel de temperatura significante,
0 08 086,Significación vertical para predicción numérica del tiempo,6,Nivel de humedad significante,
0 08 086,Significación vertical para predicción numérica del tiempo,7,Nivel del viento significante,
0 08 086,Significación vertical para predicción numérica del tiempo,8,Nivel interpolado verticalmente (debería estar fijado en 1 para los puntos del perfil vertical comprendidos entre los niveles verticales nativos del modelo),
0 08 086,Significación vertical para predicción numérica del tiempo,9,Altura virtual de la estación,
0 08 086,Significación vertical para predicción numérica del tiempo,10,Nivel de ajuste óptimo,
0 08 086,Significación vertical para predicción numérica del tiempo,11,Reservados,
0 08 086,Significación vertical para predicción numérica del tiempo,Todos los 12,Valor faltante,
0 08 087,Posición esquinera de la observación,0,Izquierda superior,
0 08 087,Posición esquinera de la observación,1,Derecha superior,
0 08 087,Posición esquinera de la observación,2,Derecha inferior,
0 08 087,Posición esquinera de la observación,3,Izquierda inferior,
0 08 087,Posición esquinera de la observación,4-6,Reservadas,
0 08 087,Posición esquinera de la observación,7,Valor faltante,
0 08 088,Significación del mapa,0,Vista superior (longitud geográfica en el eje x y latitud en el eje y),
0 08 088,Significación del mapa,1,Vista Norte-Sur (transecto con longitud geográfica en el eje x y altura vertical en el eje y),
0 08 088,Significación del mapa,2,Vista Este-Oeste (transecto con longitud geográfica en el eje x y altura vertical en el eje y),
0 08 088,Significación del mapa,3-62,Reservadas,
0 08 088,Significación del mapa,63,Faltante,
0 08 091,Significación de las coordenadas,0,Coordenadas del satélite,
0 08 091,Significación de las coordenadas,1,Coordenadas de la observación,
0 08 091,Significación de las coordenadas,2,Comienzo de la observación,
0 08 091,Significación de las coordenadas,3,Fin de la observación,
0 08 091,Significación de las coordenadas,4,Centro de gravedad horizontal de la observación,
0 08 091,Significación de las coordenadas,5,Centro de gravedad vertical de la observación,
0 08 091,Significación de las coordenadas,6,Límite superior de la observación,
0 08 091,Significación de las coordenadas,7,Límite inferior de la observación,
0 08 091,Significación de las coordenadas,8,Origen de la proyección,
0 08 091,Significación de las coordenadas,9,Coordenadas de la escala verdadera,
0 08 091,Significación de las coordenadas,10-254,Reservadas,
0 08 091,Significación de las coordenadas,255,Valor faltante,
0 08 092,Expresión de la incertidumbre en la medición,0,Incertidumbre típica,
0 08 092,Expresión de la incertidumbre en la medición,1-30,Reservadas,
0 08 092,Expresión de la incertidumbre en la medición,31,Valor faltante,
0 08 093,Significación de la incertidumbre en la medición,0,Incertidumbre total,
0 08 093,Significación de la incertidumbre en la medición,1,Componente sistemático de la incertidumbre,
0 08 093,Significación de la incertidumbre en la medición,2,Componente aleatorio de la incertidumbre,
0 08 093,Significación de la incertidumbre en la medición,3-30,Reservadas,
0 08 093,Significación de la incertidumbre en la medición,31,Valor faltante,
